#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.181735E-01   0.122326E+08   0.122072E+08  -0.896241E+03  -0.896243E+03   0.593598E+07   0.122002E+08   0.122286E+08   0.122002E+08  -0.291451E+00   0.644477E+07   0.644455E+07   0.396372E+01
   0.187895E-01   0.120141E+08   0.119875E+08  -0.823555E+03  -0.823557E+03   0.570537E+07   0.119815E+08   0.120099E+08   0.119815E+08  -0.286225E+00   0.632931E+07   0.632909E+07   0.400310E+01
   0.194263E-01   0.117917E+08   0.117639E+08  -0.756271E+03  -0.756273E+03   0.547744E+07   0.117589E+08   0.117874E+08   0.117589E+08  -0.280908E+00   0.621187E+07   0.621164E+07   0.403795E+01
   0.200848E-01   0.115657E+08   0.115366E+08  -0.694017E+03  -0.694019E+03   0.525250E+07   0.115327E+08   0.115612E+08   0.115327E+08  -0.275505E+00   0.609250E+07   0.609226E+07   0.406777E+01
   0.207656E-01   0.113362E+08   0.113058E+08  -0.636445E+03  -0.636447E+03   0.503094E+07   0.113030E+08   0.113314E+08   0.113030E+08  -0.270018E+00   0.597127E+07   0.597102E+07   0.409204E+01
   0.214694E-01   0.111033E+08   0.110716E+08  -0.583232E+03  -0.583233E+03   0.481307E+07   0.110700E+08   0.110983E+08   0.110700E+08  -0.264450E+00   0.584826E+07   0.584800E+07   0.411020E+01
   0.221971E-01   0.108672E+08   0.108342E+08  -0.534076E+03  -0.534077E+03   0.459901E+07   0.108338E+08   0.108620E+08   0.108338E+08  -0.258807E+00   0.572359E+07   0.572331E+07   0.412172E+01
   0.229495E-01   0.106281E+08   0.105938E+08  -0.488695E+03  -0.488697E+03   0.438891E+07   0.105946E+08   0.106227E+08   0.105946E+08  -0.253095E+00   0.559736E+07   0.559707E+07   0.412600E+01
   0.237274E-01   0.103863E+08   0.103508E+08  -0.446828E+03  -0.446829E+03   0.418309E+07   0.103528E+08   0.103807E+08   0.103528E+08  -0.247318E+00   0.546971E+07   0.546941E+07   0.412248E+01
   0.245316E-01   0.101421E+08   0.101054E+08  -0.408229E+03  -0.408230E+03   0.398193E+07   0.101086E+08   0.101364E+08   0.101086E+08  -0.241484E+00   0.534080E+07   0.534050E+07   0.411058E+01
   0.253631E-01   0.989587E+07   0.985788E+07  -0.372669E+03  -0.372670E+03   0.378566E+07   0.986239E+07   0.988990E+07   0.986239E+07  -0.235602E+00   0.521081E+07   0.521050E+07   0.408973E+01
   0.262228E-01   0.964793E+07   0.960876E+07  -0.339937E+03  -0.339938E+03   0.359442E+07   0.961452E+07   0.964178E+07   0.961452E+07  -0.229681E+00   0.507995E+07   0.507963E+07   0.405937E+01
   0.271116E-01   0.939873E+07   0.935844E+07  -0.309833E+03  -0.309834E+03   0.340839E+07   0.936543E+07   0.939240E+07   0.936543E+07  -0.223730E+00   0.494844E+07   0.494811E+07   0.401897E+01
   0.280306E-01   0.914876E+07   0.910742E+07  -0.282172E+03  -0.282173E+03   0.322782E+07   0.911561E+07   0.914226E+07   0.911561E+07  -0.217762E+00   0.481653E+07   0.481619E+07   0.396804E+01
   0.289807E-01   0.889853E+07   0.885624E+07  -0.256782E+03  -0.256783E+03   0.305299E+07   0.886557E+07   0.889189E+07   0.886557E+07  -0.211789E+00   0.468450E+07   0.468417E+07   0.390614E+01
   0.299630E-01   0.864863E+07   0.860549E+07  -0.233500E+03  -0.233501E+03   0.288405E+07   0.861590E+07   0.864186E+07   0.861590E+07  -0.205825E+00   0.455267E+07   0.455233E+07   0.383289E+01
   0.309786E-01   0.839969E+07   0.835581E+07  -0.212176E+03  -0.212176E+03   0.272106E+07   0.836723E+07   0.839279E+07   0.836723E+07  -0.199884E+00   0.442136E+07   0.442101E+07   0.374801E+01
   0.320286E-01   0.815236E+07   0.810789E+07  -0.192668E+03  -0.192668E+03   0.256426E+07   0.812022E+07   0.814538E+07   0.812022E+07  -0.193984E+00   0.429092E+07   0.429056E+07   0.365131E+01
   0.331142E-01   0.790737E+07   0.786246E+07  -0.174844E+03  -0.174844E+03   0.241383E+07   0.787559E+07   0.790032E+07   0.787559E+07  -0.188140E+00   0.416172E+07   0.416137E+07   0.354271E+01
