#           k/h    P           
   0.371450E+00   0.102918E+04
   0.378954E+00   0.100684E+04
   0.386609E+00   0.985212E+03
   0.394419E+00   0.963551E+03
   0.402387E+00   0.941525E+03
   0.410516E+00   0.919456E+03
   0.418809E+00   0.897859E+03
   0.427269E+00   0.877450E+03
   0.435901E+00   0.858478E+03
   0.444706E+00   0.840521E+03
   0.453690E+00   0.823151E+03
   0.462855E+00   0.806001E+03
   0.472206E+00   0.788970E+03
   0.481745E+00   0.772252E+03
   0.491477E+00   0.756076E+03
   0.501405E+00   0.740674E+03
   0.511534E+00   0.725990E+03
   0.521868E+00   0.711710E+03
   0.532411E+00   0.697690E+03
   0.543166E+00   0.683939E+03
   0.554139E+00   0.670536E+03
   0.565333E+00   0.657597E+03
   0.576753E+00   0.645106E+03
   0.588404E+00   0.632957E+03
   0.600291E+00   0.621088E+03
   0.612418E+00   0.609471E+03
   0.624789E+00   0.598127E+03
   0.637411E+00   0.587101E+03
   0.650288E+00   0.576373E+03
   0.663424E+00   0.565900E+03
   0.676826E+00   0.555658E+03
   0.690499E+00   0.545636E+03
   0.704448E+00   0.535824E+03
   0.718679E+00   0.526213E+03
   0.733197E+00   0.516793E+03
   0.748009E+00   0.507555E+03
   0.763119E+00   0.498491E+03
   0.778536E+00   0.489592E+03
   0.794263E+00   0.480852E+03
   0.810308E+00   0.472262E+03
   0.826677E+00   0.463816E+03
   0.843378E+00   0.455507E+03
   0.860415E+00   0.447326E+03
   0.877797E+00   0.439268E+03
   0.895529E+00   0.431327E+03
   0.913620E+00   0.423495E+03
   0.932076E+00   0.415767E+03
   0.950906E+00   0.408138E+03
   0.970115E+00   0.400603E+03
   0.989713E+00   0.393158E+03
   0.100971E+01   0.385797E+03
   0.103010E+01   0.378517E+03
   0.105091E+01   0.371316E+03
   0.107214E+01   0.364191E+03
   0.109380E+01   0.357140E+03
   0.111590E+01   0.350161E+03
   0.113844E+01   0.343252E+03
   0.116144E+01   0.336412E+03
   0.118490E+01   0.329639E+03
   0.120884E+01   0.322932E+03
   0.123326E+01   0.316290E+03
   0.125817E+01   0.309712E+03
   0.128359E+01   0.303197E+03
   0.130952E+01   0.296747E+03
   0.133597E+01   0.290360E+03
   0.136296E+01   0.284039E+03
   0.139049E+01   0.277784E+03
   0.141858E+01   0.271595E+03
   0.144724E+01   0.265473E+03
   0.147648E+01   0.259419E+03
   0.150630E+01   0.253434E+03
   0.153673E+01   0.247518E+03
   0.156778E+01   0.241672E+03
   0.159945E+01   0.235896E+03
   0.163176E+01   0.230194E+03
   0.166472E+01   0.224565E+03
   0.169835E+01   0.219012E+03
   0.173266E+01   0.213536E+03
   0.176766E+01   0.208139E+03
   0.180337E+01   0.202820E+03
   0.183980E+01   0.197583E+03
   0.187697E+01   0.192427E+03
   0.191489E+01   0.187352E+03
   0.195357E+01   0.182361E+03
   0.199304E+01   0.177454E+03
   0.203330E+01   0.172632E+03
   0.207437E+01   0.167895E+03
   0.211628E+01   0.163245E+03
   0.215903E+01   0.158681E+03
   0.220265E+01   0.154205E+03
   0.224714E+01   0.149817E+03
   0.229254E+01   0.145516E+03
   0.233885E+01   0.141303E+03
   0.238610E+01   0.137178E+03
   0.243430E+01   0.133141E+03
   0.248348E+01   0.129191E+03
   0.253365E+01   0.125329E+03
   0.258483E+01   0.121553E+03
   0.263705E+01   0.117864E+03
   0.269032E+01   0.114260E+03
   0.274466E+01   0.110742E+03
   0.280011E+01   0.107308E+03
   0.285668E+01   0.103958E+03
   0.291439E+01   0.100691E+03
   0.297326E+01   0.975063E+02
   0.303332E+01   0.944023E+02
   0.309460E+01   0.913783E+02
   0.315712E+01   0.884334E+02
   0.322090E+01   0.855662E+02
   0.328596E+01   0.827758E+02
   0.335234E+01   0.800610E+02
   0.342006E+01   0.774205E+02
   0.348916E+01   0.748530E+02
   0.355964E+01   0.723574E+02
   0.363155E+01   0.699324E+02
   0.370491E+01   0.675766E+02
