#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.996215E-01   0.256995E+07   0.255363E+07  -0.630016E+01  -0.630018E+01   0.223148E+06   0.255682E+07   0.256739E+07   0.255682E+07  -0.610798E-01   0.135174E+07   0.135163E+07   0.382587E+00
   0.102372E+00   0.247888E+07   0.246289E+07  -0.575495E+01  -0.575497E+01   0.207387E+06   0.246614E+07   0.247637E+07   0.246614E+07  -0.589136E-01   0.130381E+07   0.130370E+07   0.362412E+00
   0.105123E+00   0.239770E+07   0.238228E+07  -0.527927E+01  -0.527928E+01   0.193423E+06   0.238536E+07   0.239528E+07   0.238536E+07  -0.569837E-01   0.126111E+07   0.126101E+07   0.335835E+00
   0.107874E+00   0.232586E+07   0.231123E+07  -0.486357E+01  -0.486358E+01   0.181050E+06   0.231391E+07   0.232356E+07   0.231391E+07  -0.552768E-01   0.122334E+07   0.122324E+07   0.304651E+00
   0.110625E+00   0.226242E+07   0.224873E+07  -0.449890E+01  -0.449892E+01   0.170056E+06   0.225085E+07   0.226027E+07   0.225085E+07  -0.537703E-01   0.119001E+07   0.118992E+07   0.270814E+00
   0.113375E+00   0.220612E+07   0.219349E+07  -0.417703E+01  -0.417704E+01   0.160228E+06   0.219492E+07   0.220414E+07   0.219492E+07  -0.524344E-01   0.116045E+07   0.116037E+07   0.236271E+00
   0.116126E+00   0.215555E+07   0.214401E+07  -0.389056E+01  -0.389057E+01   0.151368E+06   0.214471E+07   0.215373E+07   0.214471E+07  -0.512348E-01   0.113391E+07   0.113384E+07   0.202819E+00
   0.118877E+00   0.210918E+07   0.209872E+07  -0.363307E+01  -0.363308E+01   0.143292E+06   0.209869E+07   0.210754E+07   0.209869E+07  -0.501354E-01   0.110958E+07   0.110952E+07   0.171999E+00
   0.121628E+00   0.206554E+07   0.205608E+07  -0.339909E+01  -0.339910E+01   0.135838E+06   0.205536E+07   0.206405E+07   0.205536E+07  -0.491004E-01   0.108668E+07   0.108662E+07   0.145015E+00
   0.124378E+00   0.202322E+07   0.201465E+07  -0.318407E+01  -0.318408E+01   0.128871E+06   0.201334E+07   0.202187E+07   0.201334E+07  -0.480966E-01   0.106447E+07   0.106442E+07   0.122692E+00
   0.127129E+00   0.198103E+07   0.197318E+07  -0.298443E+01  -0.298444E+01   0.122280E+06   0.197142E+07   0.197980E+07   0.197142E+07  -0.470953E-01   0.104231E+07   0.104227E+07   0.105463E+00
   0.129880E+00   0.193804E+07   0.193075E+07  -0.279747E+01  -0.279748E+01   0.115986E+06   0.192868E+07   0.193689E+07   0.192868E+07  -0.460742E-01   0.101972E+07   0.101968E+07   0.933859E-01
   0.132631E+00   0.189367E+07   0.188675E+07  -0.262134E+01  -0.262135E+01   0.109935E+06   0.188454E+07   0.189258E+07   0.188454E+07  -0.450198E-01   0.996382E+06   0.996348E+06   0.861830E-01
   0.135382E+00   0.184772E+07   0.184100E+07  -0.245494E+01  -0.245494E+01   0.104102E+06   0.183881E+07   0.184666E+07   0.183881E+07  -0.439272E-01   0.972204E+06   0.972170E+06   0.832969E-01
   0.138132E+00   0.180033E+07   0.179365E+07  -0.229771E+01  -0.229772E+01   0.984848E+05   0.179162E+07   0.179928E+07   0.179162E+07  -0.427999E-01   0.947259E+06   0.947224E+06   0.839629E-01
   0.140883E+00   0.175191E+07   0.174514E+07  -0.214947E+01  -0.214948E+01   0.930924E+05   0.174338E+07   0.175085E+07   0.174338E+07  -0.416475E-01   0.921757E+06   0.921720E+06   0.872867E-01
   0.143634E+00   0.170301E+07   0.169604E+07  -0.201020E+01  -0.201020E+01   0.879406E+05   0.169464E+07   0.170191E+07   0.169464E+07  -0.404831E-01   0.895990E+06   0.895951E+06   0.923221E-01
   0.146385E+00   0.165420E+07   0.164698E+07  -0.187988E+01  -0.187989E+01   0.830455E+05   0.164599E+07   0.165307E+07   0.164599E+07  -0.393210E-01   0.870275E+06   0.870232E+06   0.981426E-01
   0.149135E+00   0.160610E+07   0.159860E+07  -0.175848E+01  -0.175849E+01   0.784210E+05   0.159804E+07   0.160492E+07   0.159804E+07  -0.381756E-01   0.844926E+06   0.844880E+06   0.103902E+00
   0.151886E+00   0.155927E+07   0.155150E+07  -0.164590E+01  -0.164591E+01   0.740776E+05   0.155136E+07   0.155805E+07   0.155136E+07  -0.370603E-01   0.820247E+06   0.820198E+06   0.108881E+00
